Series Name,Series Code,Country Name,Country Code,2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Population ages 60-64, male",SP.POP.6064.MA,United Kingdom,GBR,1765688,1803422,1845380
"Population ages 60-64, male",SP.POP.6064.MA,Ukraine,UKR,1187237,1218008,1249558
